"Decision","Rationale"
"Primary target","Directly predict BOY/EOY score gain because growth is the performance metric used to evaluate actual class outcomes."
"Primary validation metric","Rolling-origin temporal RMSE tests whether earlier years generalize to a later year without training on future records; candidate-selection folds require at least 3 prior completed years."
"Stability tie-breaker","When candidates are within 0.01 points of the best rolling-origin RMSE, repeated-CV RMSE chooses the more stable baseline without looking at the latest action year."
"Selected operating model","Growth ensemble discovery weighted"
"Selected family","Validation ensemble"
"Selected tuned parameters","Growth gradient boosting 1 weight=2; Growth ranger forest 1 weight=2; Growth MARS 2 weight=1; Growth GAM k4 weight=1; Growth elastic net weight=1; Growth feature discovery model weight=1"
"Rolling-origin RMSE","4.576"
"Rolling-origin MAE","3.649"
"Rolling-origin R-squared","0.160"
"Repeated-CV RMSE SD","0.021"
"Latest-year RMSE","4.646"
"Latest-year MAE","3.714"
"Latest-year R-squared","0.115"
"EOY R-squared role","Reported as secondary context only; EOY is easier to predict because BOY score mechanically explains much of final score."
"Leakage rule","Teacher, course, and section IDs are excluded from the operating baseline because they are review targets, not neutral adjustment fields."
